TAXON;aphiaID;Kingdom;Phylum;Subphylum;Class;Subclass;Superorder;Order;Family;Genus;Subkingdom;Infrakingdom;Species;Infraphylum;Subfamily;Superclass;Suborder;Phylum (Division);Subgenus;Subphylum (Subdivision);Variety;Forma;Infraclass;Subterclass;Superfamily;rank
Achnanthes;149191;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Achnanthales;Achnanthaceae;Achnanthes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Achnanthes brevipes;149387;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Achnanthales;Achnanthaceae;Achnanthes;NA;NA;Achnanthes brevipes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Achnanthes longipes;156533;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Achnanthales;Achnanthaceae;Achnanthes;NA;NA;Achnanthes longipes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Actinocyclus;148944;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Hemidiscaceae;Actinocyclus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Actinocyclus octonarius var. octonarius;162770;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Hemidiscaceae;Actinocyclus;NA;NA;Actinocyclus octonarius;NA;NA;NA;NA;NA;NA;NA;Actinocyclus octonarius var. octonarius;NA;NA;NA;NA;Variety
Actinocyclus senarius;162810;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Hemidiscaceae;Actinocyclus;NA;NA;Actinocyclus senarius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Actinoptychus;148947;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Heliopeltaceae;Actinoptychus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Actinoptychus senarius;148948;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Heliopeltaceae;Actinoptychus;NA;NA;Actinoptychus senarius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Akashiwo;231787;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Gymnodiniaceae;Akashiwo;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Akashiwo sanguinea;232546;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Gymnodiniaceae;Akashiwo;Harosa;Alveolata;Akashiwo sanguinea;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Alexandrium;109470;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Alexandrium;Harosa;Alveolata;NA;Dinoflagellata;Ostreopsidoideae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Alexandrium affine;109707;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Alexandrium;Harosa;Alveolata;Alexandrium affine;Dinoflagellata;Ostreopsidoideae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Alexandrium catenella;231873;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Alexandrium;Harosa;Alveolata;Alexandrium catenella;Dinoflagellata;Ostreopsidoideae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Alexandrium fraterculus;233433;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Alexandrium;Harosa;Alveolata;Alexandrium fraterculus;Dinoflagellata;Ostreopsidoideae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Alexandrium minutum;109711;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Alexandrium;Harosa;Alveolata;Alexandrium minutum;Dinoflagellata;Ostreopsidoideae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Alexandrium pseudogonyaulax;109713;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Alexandrium;Harosa;Alveolata;Alexandrium pseudogonyaulax;Dinoflagellata;Ostreopsidoideae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Amphidinium;109473;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Amphidiniales;Amphidiniaceae;Amphidinium;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Amphidinium carterae;109723;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Amphidiniales;Amphidiniaceae;Amphidinium;Harosa;Alveolata;Amphidinium carterae;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Amphidinium crassum;109726;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Amphidiniales;Amphidiniaceae;Amphidinium;Harosa;Alveolata;Amphidinium crassum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Amphidinium sphenoides;109754;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Amphidiniales;Amphidiniaceae;Amphidinium;Harosa;Alveolata;Amphidinium sphenoides;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Amphidoma;109517;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophyceae incertae sedis;Amphidomataceae;Amphidoma;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Amphidoma languida;729889;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophyceae incertae sedis;Amphidomataceae;Amphidoma;Harosa;Alveolata;Amphidoma languida;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Amphipleura;160653;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amphiprora;149140;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Amphipleuraceae;Amphiprora;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Amphisolenia;109459;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Amphisoleniaceae;Amphisolenia;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Amphisolenia bidentata;109589;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Amphisoleniaceae;Amphisolenia;Harosa;Alveolata;Amphisolenia bidentata;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Amphisolenia globifera;109592;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Amphisoleniaceae;Amphisolenia;Harosa;Alveolata;Amphisolenia globifera;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Amphitetras;578002;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Triceratiales;Triceratiaceae;Amphitetras;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Amphora;149200;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Thalassiophysales;Catenulaceae;Amphora;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Amphorella;827294;Animalia;Mollusca;NA;Gastropoda;Heterobranchia;Eupulmonata;Stylommatophora;Ferussaciidae;Amphorella;NA;NA;NA;NA;NA;NA;Achatinina;NA;NA;NA;NA;NA;Euthyneura;Tectipleura;Achatinoidea;Genus
Amphorellopsis;425527;Chromista;Ciliophora;Intramacronucleata;Oligotrichea;Oligotrichia;NA;Choreotrichida;Tintinnidae;Amphorellopsis;Harosa;Alveolata;NA;NA;NA;NA;Tintinnina;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Amphorides quadrilineata;235769;Chromista;Ciliophora;Intramacronucleata;Oligotrichea;Oligotrichia;NA;Choreotrichida;Tintinnidae;Amphorides;Harosa;Alveolata;Amphorides quadrilineata;NA;NA;NA;Tintinnina;NA;NA;NA;NA;NA;NA;NA;NA;Species
Amylax triacantha;110007;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Gonyaulacaceae;Amylax;Harosa;Alveolata;Amylax triacantha;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Anabaena;146585;Bacteria;Cyanobacteria;NA;Cyanophyceae;Nostocophycidae;NA;Nostocales;Aphanizomenonaceae;Anabaena;Negibacteria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Anabaenopsis;146590;Bacteria;Cyanobacteria;NA;Cyanophyceae;Nostocophycidae;NA;Nostocales;Nodulariaceae;Anabaenopsis;Negibacteria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Anaulus mediterraneus;161536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Apedinella;248096;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Pedinellales;Actinomonadaceae;Apedinella;Harosa;Heterokonta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Apedinella radians;248097;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Pedinellales;Actinomonadaceae;Apedinella;Harosa;Heterokonta;Apedinella radians;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Apocalathium malmogiense;1380043;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Thoracosphaerales;Thoracosphaeraceae;Apocalathium;Harosa;Alveolata;Apocalathium malmogiense;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Appendicularia;103357;Animalia;Chordata;Tunicata;Appendicularia;NA;NA;Copelata;Fritillariidae;Appendicularia;NA;NA;NA;NA;Appendiculariinae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Archaeperidinium;604918;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Peridiniida incertae sedis;Archaeperidinium;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Archaeperidinium minutum;624607;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Peridiniida incertae sedis;Archaeperidinium;Harosa;Alveolata;Archaeperidinium minutum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asterionella;148953;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Asterionella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Asterionella formosa;148954;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Asterionella;NA;NA;Asterionella formosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asterionella frauenfeldii;176362;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Asterionella;NA;NA;Asterionella frauenfeldii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asterionella glacialis;148955;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Asterionella;NA;NA;Asterionella glacialis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asterionella kariana;148956;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Asterionella;NA;NA;Asterionella kariana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asterionella notata;162249;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Asterionella;NA;NA;Asterionella notata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asterionellopsis;149138;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Asterionellopsis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Asterodinium gracile;232111;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Brachidiniaceae;Asterodinium;Harosa;Alveolata;Asterodinium gracile;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asterolampra marylandica;248070;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Asterolamprales;Asterolampraceae;Asterolampra;NA;NA;Asterolampra marylandica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asteromphalus;162254;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Asterolamprales;Asterolampraceae;Asteromphalus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Asteromphalus flabellatus;162255;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Asterolamprales;Asterolampraceae;Asteromphalus;NA;NA;Asteromphalus flabellatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Asteromphalus heptactis;162258;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Asterolamprales;Asterolampraceae;Asteromphalus;NA;NA;Asteromphalus heptactis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Attheya;160519;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Attheyaceae;Attheya;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Aulacodiscus argus;149280;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Aulacodiscaceae;Aulacodiscus;NA;NA;Aulacodiscus argus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Aulacoseira;148959;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Aulacoseira granulata;148961;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;NA;NA;Aulacoseira granulata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Azadinium;391508;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophyceae incertae sedis;Amphidomataceae;Azadinium;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Azadinium caudatum;837075;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophyceae incertae sedis;Amphidomataceae;Azadinium;Harosa;Alveolata;Azadinium caudatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Azadinium caudatum var. margalefii;846290;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophyceae incertae sedis;Amphidomataceae;Azadinium;Harosa;Alveolata;Azadinium caudatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;Azadinium caudatum var. margalefii;NA;NA;NA;NA;Variety
Bacillaria;149148;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Bacillaria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Bacillaria paradoxa;149317;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Bacillaria;NA;NA;Bacillaria paradoxa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacillaria paxillifera;558243;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Bacillaria;NA;NA;Bacillaria paxillifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacillariaceae;149002;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Bacillariophycanae;591186;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Superorder
Bacillariophyceae;148899;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Bacteriastrum;149118;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Bacteriastrum comosum;248066;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;Bacteriastrum comosum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacteriastrum delicatulum;164108;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;Bacteriastrum delicatulum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacteriastrum elongatum;162916;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;Bacteriastrum elongatum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacteriastrum furcatum;164110;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;Bacteriastrum furcatum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacteriastrum hyalinum;149119;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;Bacteriastrum hyalinum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacteriastrum hyalinum var. princeps;251727;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;Bacteriastrum hyalinum;NA;NA;NA;NA;NA;NA;NA;Bacteriastrum hyalinum var. princeps;NA;NA;NA;NA;Variety
Bacteriastrum jadranum;764850;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;Bacteriastrum jadranum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacteriastrum mediterraneum;418487;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;NA;Bacteriastrum mediterraneum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bacterosira constricta;1307640;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophyceae incertae sedis;NA;NA;NA;Bacterosira;NA;NA;Bacterosira constricta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Balechina;231856;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Ptychodiscaceae;Balechina;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Bellerochea;149305;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Hemiaulales;Bellerocheaceae;Bellerochea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Bellerochea malleus;149306;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Hemiaulales;Bellerocheaceae;Bellerochea;NA;NA;Bellerochea malleus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bellerochea polymorpha;464448;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Hemiaulales;Bellerocheaceae;Bellerochea;NA;NA;Bellerochea polymorpha;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Biddulphia;148967;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Biddulphiales;Biddulphiaceae;Biddulphia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Biddulphia biddulphiana;162952;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Biddulphiales;Biddulphiaceae;Biddulphia;NA;NA;Biddulphia biddulphiana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Biddulphia rhombus;149324;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Biddulphiales;Biddulphiaceae;Biddulphia;NA;NA;Biddulphia rhombus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Biddulphia sinensis;148969;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Biddulphiales;Biddulphiaceae;Biddulphia;NA;NA;Biddulphia sinensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Biddulphiopsis titiana;616718;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Biddulphiales;Biddulphiaceae;Biddulphiopsis;NA;NA;Biddulphiopsis titiana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bleakeleya;163735;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Bleakeleya;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Bleakeleya notata;163736;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Bleakeleya;NA;NA;Bleakeleya notata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Brachidinium;231770;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Kareniaceae;Brachidinium;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Brachidinium capitatum;232115;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Kareniaceae;Brachidinium;Harosa;Alveolata;Brachidinium capitatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Brachiomonas;345436;Plantae;NA;NA;Chlorophyceae;NA;NA;Chlamydomonadales;Chlamydomonadaceae;Brachiomonas;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Chlorophytina;NA;NA;NA;NA;NA;Genus
Brockmanniella;149136;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Cymatosirophycanae;Cymatosirales;Cymatosiraceae;Brockmanniella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Brockmanniella brockmannii;149137;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Cymatosirophycanae;Cymatosirales;Cymatosiraceae;Brockmanniella;NA;NA;Brockmanniella brockmannii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Calciodinelloideae;493993;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Peridiniaceae;NA;Harosa;Alveolata;NA;Dinoflagellata;Calciodinelloideae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Subfamily
Caloneis subsalina;163807;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Naviculaceae;Caloneis;NA;NA;Caloneis subsalina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Calyptrosphaera;235828;Chromista;Haptophyta;Haptophytina;Coccolithophyceae;Prymnesiophycidae;NA;Coccolithales;Calyptrosphaeraceae;Calyptrosphaera;Hacrobia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Campylodiscus;149616;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Surirellales;Surirellaceae;Campylodiscus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
